time,03UM,05um,10um,25um,50um,100um
1770855654.7611864,189,61,10,2,0,0
1770855655.7628627,189,61,10,2,0,0
1770855656.7644284,207,67,14,2,0,0
1770855657.766033,207,67,14,2,0,0
1770855658.7683175,207,67,14,2,0,0
1770855659.7705953,189,61,14,4,0,0
1770855660.7727656,189,61,14,4,0,0
1770855661.7749038,189,61,14,4,0,0
1770855662.7772496,195,61,14,4,0,0
1770855663.7793849,195,61,14,4,0,0
1770855664.781524,195,61,14,4,0,0
1770855665.7836478,195,59,12,4,0,0
1770855666.7859313,195,59,12,4,0,0
1770855667.7881885,195,59,12,4,0,0
1770855668.7904444,138,38,10,4,0,0
1770855669.79273,138,38,10,4,0,0
1770855670.7950087,138,38,10,4,0,0
1770855671.7973566,156,44,12,4,0,0
1770855672.7993157,156,44,12,4,0,0
1770855673.8011913,156,44,12,4,0,0
1770855674.803462,150,42,12,4,0,0
1770855675.805735,150,42,12,4,0,0
1770855676.8080697,150,42,12,4,0,0
1770855677.8103695,150,42,12,4,0,0
1770855678.8127258,150,42,12,4,0,0
1770855679.8150408,150,42,12,4,0,0
1770855680.8180327,138,40,12,4,0,0
1770855681.8193247,138,40,12,4,0,0
1770855682.821264,138,40,12,4,0,0
1770855683.8235335,150,44,14,4,0,0
