timestamp,cps,cps_err,usv_hr
1776295670.8603237,8.5,2.0615528128088303,0.106539
1776295672.8859315,6.0,1.7320508075688772,0.075204
1776295674.8948786,5.5,1.6583123951777,0.068937
1776295676.885541,7.5,1.9364916731037085,0.094005
1776295678.9297543,6.0,1.7320508075688772,0.075204
1776295680.9188118,6.5,1.8027756377319946,0.081471
1776295682.9438603,9.0,2.1213203435596424,0.112806
1776295684.9761121,5.0,1.5811388300841898,0.06267
1776295686.9929712,6.5,1.8027756377319946,0.081471
1776295689.0186946,4.5,1.5,0.056403
1776295691.0175207,6.5,1.8027756377319946,0.081471
1776295693.034082,3.5,1.3228756555322954,0.043869
1776295695.089245,5.0,1.5811388300841898,0.06267
1776295697.0991971,6.5,1.8027756377319946,0.081471
1776295699.0846622,6.0,1.7320508075688772,0.075204
1776295701.1144187,8.5,2.0615528128088303,0.106539
1776295703.1370375,7.0,1.8708286933869707,0.087738
1776295705.1673844,6.0,1.7320508075688772,0.075204
1776295707.1602764,5.0,1.5811388300841898,0.06267
1776295709.1750114,6.0,1.7320508075688772,0.075204
1776295711.201748,2.5,1.118033988749895,0.031335
1776295713.2358756,4.5,1.5,0.056403
1776295715.262925,6.5,1.8027756377319946,0.081471
1776295717.2845626,3.5,1.3228756555322954,0.043869
1776295719.2657688,5.5,1.6583123951777,0.068937
1776295721.2894075,5.5,1.6583123951777,0.068937
1776295723.309197,4.0,1.4142135623730951,0.050136
1776295725.3206549,4.0,1.4142135623730951,0.050136
1776295727.336416,5.5,1.6583123951777,0.068937
1776295729.4050148,5.0,1.5811388300841898,0.06267
1776295731.3980038,6.0,1.7320508075688772,0.075204
1776295733.4128888,6.5,1.8027756377319946,0.081471
1776295735.4490294,4.0,1.4142135623730951,0.050136
1776295737.4597077,4.0,1.4142135623730951,0.050136
1776295739.4754422,5.5,1.6583123951777,0.068937
1776295741.5179746,5.0,1.5811388300841898,0.06267
1776295743.519502,7.5,1.9364916731037085,0.094005
1776295745.5516787,4.5,1.5,0.056403
1776295747.5217705,4.5,1.5,0.056403
1776295749.585418,3.5,1.3228756555322954,0.043869
1776295751.6075826,7.0,1.8708286933869707,0.087738
1776295753.6220014,6.5,1.8027756377319946,0.081471
1776295755.6480207,4.5,1.5,0.056403
1776295757.6316695,7.5,1.9364916731037085,0.094005
1776295759.6521094,5.0,1.5811388300841898,0.06267
1776295761.6824932,5.0,1.5811388300841898,0.06267
1776295763.7186859,6.0,1.7320508075688772,0.075204
1776295765.73921,5.0,1.5811388300841898,0.06267
1776295767.7560666,6.5,1.8027756377319946,0.081471
1776295769.7774332,2.0,1.0,0.025068
1776295771.7956007,6.0,1.7320508075688772,0.075204
1776295773.8083036,6.0,1.7320508075688772,0.075204
1776295775.83112,10.5,2.29128784747792,0.131607
1776295777.847973,7.5,1.9364916731037085,0.094005
1776295779.8309996,5.5,1.6583123951777,0.068937
1776295781.853393,7.0,1.8708286933869707,0.087738
1776295783.8710725,3.0,1.224744871391589,0.037602
1776295785.8823931,5.5,1.6583123951777,0.068937
1776295787.9206629,6.0,1.7320508075688772,0.075204
1776295789.9356573,3.5,1.3228756555322954,0.043869
1776295791.9655063,6.5,1.8027756377319946,0.081471
1776295793.9825392,4.5,1.5,0.056403
1776295796.002273,6.5,1.8027756377319946,0.081471
1776295798.0162008,5.0,1.5811388300841898,0.06267
1776295800.0323732,2.0,1.0,0.025068
1776295802.0712533,7.0,1.8708286933869707,0.087738
1776295804.0837066,7.0,1.8708286933869707,0.087738
1776295806.1023593,3.5,1.3228756555322954,0.043869
1776295808.1306252,5.0,1.5811388300841898,0.06267
1776295810.1597095,5.0,1.5811388300841898,0.06267
1776295812.132578,3.0,1.224744871391589,0.037602
1776295814.183483,5.0,1.5811388300841898,0.06267
1776295816.199508,4.5,1.5,0.056403
1776295818.2113955,7.0,1.8708286933869707,0.087738
1776295820.2417083,5.0,1.5811388300841898,0.06267
1776295822.2571874,10.0,2.23606797749979,0.12534
1776295824.2957742,6.0,1.7320508075688772,0.075204
1776295826.2877407,9.0,2.1213203435596424,0.112806
1776295828.3017337,3.5,1.3228756555322954,0.043869
1776295830.3345122,6.0,1.7320508075688772,0.075204
1776295832.3601387,5.0,1.5811388300841898,0.06267
1776295834.3784,2.5,1.118033988749895,0.031335
1776295836.3703544,5.5,1.6583123951777,0.068937
1776295838.4136226,7.5,1.9364916731037085,0.094005
1776295840.4356625,8.5,2.0615528128088303,0.106539
1776295842.448688,4.0,1.4142135623730951,0.050136
1776295844.4327178,3.4,0.8246211251235321,0.0426156
