timestamp,latitude,longitude,accuracy
1776295951.8648558,37.87594996618497,-122.25882092641059,11.91611403290614
1776295951.8677032,37.87594996618497,-122.25882092641059,11.91611403290614
1776295951.8700871,37.875949966184635,-122.25882092641008,11.995014000000001
1776295951.8728933,37.875949760067215,-122.25882124789467,11.916176170115568
1776295951.908597,37.875949760067215,-122.25882124789467,11.916176171942109
1776295958.4415128,37.87594776652188,-122.25883828369659,10.456288433893073
1776295966.893983,37.87594126990427,-122.25884288394373,9.184566189395332
1776295981.352102,37.87593829083107,-122.25883863970205,13.138039647851873
1776295995.9129481,37.8759461090436,-122.25885379636625,13.45933860982213
1776296002.3507469,37.87594808816216,-122.25883784430125,15.019460417145554
1776296008.795903,37.87590886490071,-122.25876186436415,14.821484362724878
1776296015.2527478,37.87591573898713,-122.25879809401258,13.672355546889436
1776296021.730663,37.875934524717444,-122.2588888533469,13.95499608640711
1776296028.3454583,37.875925931365934,-122.25896527848559,13.500965311414147
1776296034.9288595,37.87593122117443,-122.25899690090618,14.45868674886895
1776296041.542704,37.87591982055169,-122.25897793219458,13.83159819746053
1776296048.1481538,37.87591956139702,-122.25899169336424,15.73898500637187
1776296067.0306306,37.875879475549375,-122.25900196821662,13.626682814116128
1776296082.0444837,37.87586667514713,-122.25900370223701,11.04218756622492
1776296097.0511713,37.87585864479539,-122.25900479010066,9.667389246257747
1776296112.0582383,37.875853655298506,-122.25900546602277,8.70473583051536
1776296127.0609245,37.875850254239836,-122.25900592676078,7.982506895081332
1776296136.755289,37.875850254239836,-122.25900592676078,7.982506895081332
1776296136.7605636,37.875850254239836,-122.25900592676078,7.982506895081332
1776296136.7640705,37.875850254239836,-122.25900592676078,8.095014
1776296136.7789404,37.875850212427075,-122.25900592714366,7.9829666766536365
1776296137.3440216,37.87584705790125,-122.25900378544605,7.414175447800721
1776296138.9422934,37.87584535223843,-122.25900119949154,6.7576716051506835
1776296139.156204,37.875844282545074,-122.25899957773062,6.318228353323106
1776296140.1679382,37.8758437472691,-122.2589987661993,6.16203113505807
1776296141.1753001,37.87584374467993,-122.25899876227386,6.191978254215591
1776296142.1690433,37.87584374348255,-122.2589987604585,6.206037082135916
1776296143.162626,37.87585785129232,-122.25900802616498,6.195149551684086
1776296144.1654766,37.875840503462406,-122.25901394149827,6.2052228529666005
1776296145.1655335,37.87584050239908,-122.25901394703793,6.209668687157317
1776296146.162875,37.87584050112156,-122.25901395369347,6.21918733746012
1776296147.1683946,37.875843548023695,-122.25901464658033,6.06292905060575
1776296147.814711,37.875841841723336,-122.25901288775415,6.092954479046363
1776296148.8194304,37.87584990754228,-122.25901571700173,5.89455083644649
1776296149.9035902,37.87585103202114,-122.25901561132999,6.34897495680281
1776296150.828119,37.875857478771195,-122.25901578122308,6.553473116455822
1776296151.8190465,37.875857565198764,-122.25901578350074,7.025556889262295
1776296152.8193715,37.87585816604417,-122.25901530815985,8.33094514768186
1776296153.8222697,37.875853469309256,-122.25901429021006,10.119320488006466
1776296154.8264437,37.87585484066096,-122.25901389131293,9.628552734970413
1776296155.8197227,37.87584649705047,-122.25901618370757,9.942648359490557
1776296157.0879805,37.875838412760984,-122.25902019186611,10.254150280830991
1776296157.8201804,37.875829111176785,-122.25902155819523,10.529835839735965
1776296158.8192804,37.875817154412005,-122.25902202338003,10.55108989380074
1776296159.8184736,37.87581106563322,-122.25902509766226,10.806555197290573
1776296160.8206542,37.87579219176214,-122.25901875941274,9.871963599515558
1776296161.819108,37.875787137880934,-122.25902050377366,10.1577468220271
1776296162.8183513,37.87578666890642,-122.25902507063776,9.493015371036735
1776296163.8225908,37.87577861188754,-122.25902669333541,9.810219131457867
1776296164.822017,37.87577053557739,-122.25902835777109,10.115704653691662
1776296165.8182201,37.875762217640556,-122.25902787298483,10.412821567472848
1776296166.8192348,37.87575317793027,-122.25902287320028,9.8005645127476
1776296167.8200448,37.87574335093582,-122.25902217511654,10.06766426946201
1776296168.8188217,37.875732795049586,-122.25902132977087,10.367708597089042
1776296169.8203764,37.87572272006937,-122.25902038520634,10.645434378297024
1776296170.831876,37.87569813746363,-122.25903393105312,21.76776650746408
1776296171.8191943,37.87571207009121,-122.25903762826783,14.24595456290055
1776296172.8260303,37.87570369495369,-122.25904110259388,14.245954590575272
1776296173.819363,37.87570171055441,-122.25903531328457,14.24595459057527
1776296174.8197691,37.875700838217234,-122.2590304119885,14.245954617903587
1776296175.9767125,37.875692860371,-122.25901385069488,14.245954583162723
1776296176.8197513,37.87568549114921,-122.25901004928927,14.245954587832898
1776296177.8175805,37.875679484066076,-122.25900803736553,14.245954577797956
1776296178.816896,37.87567879798038,-122.25898254302534,14.245954590607036
1776296179.8154416,37.87565464355473,-122.2589704094153,14.245954571320318
1776296180.8224976,37.87564406274458,-122.25895177441512,14.24595456709263
1776296181.820784,37.87564037403927,-122.25894464547159,14.24595457365877
1776296182.8197336,37.8756304564485,-122.25894136773908,14.245954575930003
1776296183.8185194,37.87562863479542,-122.25894000187468,14.245954590575272
1776296184.817589,37.875623669900655,-122.25894076038057,14.245954590575272
1776296185.843403,37.8756154919236,-122.25893979528097,14.245954571770227
1776296186.8238788,37.87559787346807,-122.25893464796309,14.245954573158134
1776296187.8260345,37.87559380331897,-122.2589533719996,14.245954586298648
1776296188.8207912,37.875589694254195,-122.25894833355822,14.24595459057527
1776296189.821469,37.87558013693238,-122.25894699566668,14.24595459057527
1776296190.820535,37.87557013645149,-122.2589466395707,14.24595459057527
1776296191.8244767,37.87554933954782,-122.25894912294555,14.24595459057527
1776296192.8227427,37.87552416162455,-122.25895666042986,14.245954563303878
1776296193.8227167,37.8755024384308,-122.25896610369439,14.2459545566155
1776296194.8217611,37.87549071237573,-122.25896348573049,14.24595459057527
1776296195.8205018,37.87555240238239,-122.25898361123211,14.24595450099104
1776296196.8198156,37.87553995088635,-122.2589864936298,14.245954538661058
1776296197.8209853,37.87554595508706,-122.25898465722662,14.24595457657852
1776296198.8198001,37.87554690957769,-122.25897764770437,14.245954588315092
1776296199.813531,37.87554629935307,-122.25897489198309,14.24595459057527
1776296200.8201983,37.87554629935307,-122.25897489198309,14.24595459057527
1776296201.8247871,37.87554629935307,-122.25897489198309,14.24595459057527
1776296202.8208454,37.87554629935307,-122.25897489198309,14.24595459057527
1776296203.8193016,37.87554629935307,-122.25897489198309,14.245954590575272
